tab-separated fields are: coordinated universal date and time (it is nearly date and time of checkout), environment id, autobuild summary, code coverage summary, space-separated list of failed/crashed tests
Note: it is normal for w2k_vc6 autobuilds to have "bad_build" code coverage summary -- vc6 just crashes with internal error trying to compile instrumented tests.
02/03/04 xx:xx:xx	w2k_icc	failed	crashed_74.1	testSetStatistics
07/11/04 20:20:03	w2k_icc	success	68.4	
07/12/04 20:20:02	w2k_icc	success	68.3	
07/13/04 20:20:02	w2k_icc	failed	68.4	testComputeLikelihood
07/14/04 20:20:02	w2k_icc	failed	68.5	testComputeLikelihood
07/15/04 20:20:01	w2k_icc	failed	68.4	testComputeLikelihood
07/16/04 20:20:03	w2k_icc	failed	68.5	testComputeLikelihood
07/19/04 20:20:02	w2k_icc	failed	68.5	testComputeLikelihood
07/20/04 20:20:01	w2k_icc	failed	68.5	testComputeLikelihood
07/21/04 20:20:05	w2k_icc	failed	68.5	testComputeLikelihood testJTreeInfDBN
07/22/04 20:20:02	w2k_icc	failed	68.4	testComputeLikelihood
07/26/04 20:20:01	w2k_icc	failed	68.5	testComputeLikelihood
07/27/04 20:20:02	w2k_icc	failed	68.4	testComputeLikelihood
07/28/04 20:20:02	w2k_icc	failed	crashed_66.6	testComputeLikelihood
07/29/04 20:20:02	w2k_icc	failed	68.5	testComputeLikelihood
07/30/04 20:20:02	w2k_icc	failed	68.5	testComputeLikelihood
08/03/04 20:20:02	w2k_icc	crashed	crashed_16.9	testComputeLikelihood testConditionalGaussianLearning testConditionalSoftMaxInfAndLearn testFactorLearningEngine testGaussianFactorLearningEngine
08/04/04 20:20:01	w2k_icc	crashed	crashed_16.9	testComputeLikelihood testConditionalSoftMaxInfAndLearn
08/05/04 20:20:01	w2k_icc	crashed	crashed_16.9	testComputeLikelihood testConditionalSoftMaxInfAndLearn
08/06/04 20:20:01	w2k_icc	crashed	crashed_16.9	testComputeLikelihood testConditionalSoftMaxInfAndLearn
08/09/04 20:20:01	w2k_icc	crashed	crashed_17.1	testComputeLikelihood testConditionalSoftMaxInfAndLearn
08/10/04 20:20:01	w2k_icc	crashed	crashed_17.1	testComputeLikelihood testConditionalSoftMaxInfAndLearn testInfForRndBNet
08/11/04 20:20:02	w2k_icc	crashed	crashed_16.7	testComputeLikelihood testConditionalSoftMaxInfAndLearn
08/12/04 20:20:02	w2k_icc	failed	70.7	testComputeLikelihood testJTreeInfDBN
08/13/04 20:20:02	w2k_icc	crashed	crashed_55.3	test1_5JTreeInfDBNCondGauss testComputeLikelihood testGenerateEvidences testJTreeInfMixtureDBN
08/16/04 20:20:03	w2k_icc	crashed	crashed_36.1	testComputeLikelihood testInfForRndBNet
08/17/04 20:20:02	w2k_icc	failed	crashed_35.6	testComputeLikelihood testJTreeInfDBN
08/18/04 20:20:02	w2k_icc	failed	70.7	testComputeLikelihood testJTreeInfDBN
08/19/04 20:20:02	w2k_icc	crashed	70.7	testComputeLikelihood testGaussianFactorLearningEngine testJTreeInfDBN
08/20/04 20:20:02	w2k_icc	failed	70.7	testComputeLikelihood
08/23/04 20:20:01	w2k_icc	failed	crashed_35.6	testComputeLikelihood testMixtureGaussianLearning
08/24/04 20:20:02	w2k_icc	crashed	70.7	testComputeLikelihood testGibbsInference testInfForRndBNet
08/25/04 20:20:02	w2k_icc	crashed	70.6	testComputeLikelihood testInfForRndBNet testMixtureGaussianLearning
08/26/04 20:20:02	w2k_icc	failed	70.5	testComputeLikelihood
08/27/04 20:20:02	w2k_icc	failed	70.5	testComputeLikelihood
08/30/04 20:20:02	w2k_icc	failed	70.5	testComputeLikelihood
08/31/04 20:20:02	w2k_icc	failed	70.4	testComputeLikelihood
09/01/04 20:20:02	w2k_icc	failed	70.4	testComputeLikelihood
09/02/04 20:20:02	w2k_icc	crashed	crashed_3.6	testComputeLikelihood testConditionalSoftMaxInfAndLearn testMixtureGaussianLearning
09/03/04 20:20:01	w2k_icc	crashed	crashed_3.6	testComputeLikelihood testConditionalSoftMaxInfAndLearn
09/06/04 20:20:02	w2k_icc	failed	70.3	testComputeLikelihood
09/07/04 20:20:01	w2k_icc	failed	70.3	testComputeLikelihood
09/08/04 20:20:03	w2k_vc6	bad_build	skipped	
09/09/04 20:20:04	w2k_vc6	bad_build	skipped	
09/10/04 10:35:04	w2k_vc6	bad_build	skipped	
09/10/04 11:49:04	w2k_vc6	bad_build	skipped	
09/10/04 12:27:03	w2k_vc6	bad_build	skipped	
09/10/04 13:38:05	w2k_vc6	failed	bad_build	testComputeLikelihood
09/11/04 20:20:02	w2k_vc6	failed	not_demanded	testComputeLikelihood
09/12/04 20:20:02	w2k_vc6	failed	not_demanded	testComputeLikelihood
09/13/04 20:20:02	w2k_vc6	failed	not_demanded	testComputeLikelihood
09/14/04 20:20:02	w2k_icc	failed	70.0	testComputeLikelihood
09/15/04 20:20:01	w2k_icc	failed	70.0	testComputeLikelihood
09/16/04 20:20:02	w2k_icc	failed	70.0	testComputeLikelihood
09/17/04 20:20:01	w2k_icc	failed	70.0	testComputeLikelihood
09/18/04 20:20:01	w2k_icc	failed	70.0	testComputeLikelihood
09/19/04 20:20:06	w2k_icc	failed	69.9	testComputeLikelihood testGenerateEvidences
09/20/04 20:20:06	w2k_icc	failed	70.0	testComputeLikelihood
09/21/04 20:20:02	w2k_icc	failed	70.0	testComputeLikelihood
09/22/04 20:20:01	w2k_icc	failed	crashed_68.4	testComputeLikelihood
09/23/04 20:20:02	w2k_icc	failed	bad_build	testComputeLikelihood
09/24/04 20:20:03	w2k_icc	failed	70.0	testComputeLikelihood
09/27/04 20:20:03	w2k_icc	failed	crashed_68.4	testComputeLikelihood
09/28/04 20:20:04	w2k_icc	crashed	70.0	testComputeLikelihood testGaussianFactorLearningEngine
09/29/04 20:20:02	w2k_icc	failed	70.0	testComputeLikelihood
09/30/04 20:20:02	w2k_icc	failed	70.0	testComputeLikelihood
10/01/04 20:20:02	w2k_icc	failed	bad_build	testComputeLikelihood
10/02/04 20:20:01	w2k_icc	failed	bad_build	testComputeLikelihood
10/03/04 20:20:01	w2k_icc	failed	bad_build	testComputeLikelihood testGibbsInference
10/04/04 20:20:02	w2k_icc	failed	bad_build	testComputeLikelihood
10/05/04 20:20:02	w2k_icc	failed	bad_build	testComputeLikelihood
10/06/04 20:20:03	w2k_icc	failed	70.0	testComputeLikelihood
10/07/04 20:20:02	w2k_icc	failed	70.1	testBKInfUsingClusters testComputeLikelihood
10/08/04 20:20:02	w2k_icc	crashed	70.2	testComputeLikelihood testGaussianFactorLearningEngine
10/11/04 20:20:02	w2k_icc	failed	70.2	testComputeLikelihood
10/12/04 20:20:04	w2k_icc	failed	crashed_68.6	testComputeLikelihood
10/13/04 20:20:02	w2k_icc	failed	70.2	testComputeLikelihood
10/14/04 20:20:02	w2k_icc	failed	70.2	testComputeLikelihood testJTreeInfDBN
10/15/04 20:20:02	w2k_icc	failed	70.3	testComputeLikelihood
10/16/04 20:20:02	w2k_icc	failed	70.2	testComputeLikelihood
10/18/04 20:20:02	w2k_icc	failed	70.2	testComputeLikelihood testGenerateEvidences
10/21/04 20:20:03	w2k_icc	crashed	bad_build	testComputeLikelihood testExInfEngine
10/22/04 20:20:03	w2k_icc	crashed	crashed_26.8	testComputeLikelihood testExInfEngine
